,ID,AWARDS
1208,17621,[]
1209,877491,[]
1210,17620,[]
1211,17050,[]
1212,17619,[]
1213,302425,[]
1214,525156,[]
1215,17618,[]
1216,434158,[]
1217,17235,[]
1218,17617,[]
1219,17616,[]
1220,17895,[]
1221,17049,[]
1222,17615,[]
1223,17614,[]
1224,17048,['Wisden Cricketer of the Year 1902']
1225,53357,[]
1226,1037313,[]
1227,17970,[]
1228,17520,[]
1229,17046,[]
1230,17045,[]
1231,17613,[]
1232,17893,[]
1233,17894,[]
1234,1150365,[]
1235,885379,[]
1236,17042,[]
1237,17041,[]
1238,1089003,[]
1239,17207,[]
1240,17040,[]
1241,17039,[]
1242,17796,[]
1243,17612,[]
1244,21499,"['Became 3rd Lord Tennyson in 1928', 'Wisden Cricketer of the Year 1914']"
1245,16386,[]
1246,16712,[]
1247,16711,[]
1248,16710,[]
1249,16829,[]
1250,16709,[]
1251,16708,[]
1252,16706,[]
1253,16705,[]
1254,16704,[]
1255,16385,[]
1256,251721,"['NBC Denis Compton Award 2010', 'Wisden Cricketer of the Year 2015']"
1257,16828,[]
1258,1146759,[]
1259,17038,[]
1260,17611,[]
1261,17939,[]
1262,17892,[]
1263,17610,[]
1264,17609,[]
1265,17608,[]
1266,17607,[]
1267,1149915,[]
1268,532576,[]
1269,17787,[]
1270,17891,[]
1271,17786,[]
1272,542004,[]
1273,596411,[]
1274,381082,[]
1275,596446,[]
1276,596431,[]
1277,596661,[]
1278,695279,[]
1279,807061,[]
1280,1137519,[]
1281,330493,[]
1282,594336,[]
1283,596405,[]
1284,429932,[]
1285,48109,[]
1286,550187,[]
1287,949421,[]
1288,480449,[]
1289,277747,[]
1290,16703,[]
1291,1014727,[]
1292,16382,[]
1293,16702,[]
1294,16426,[]
1295,16827,[]
1296,16384,[]
1297,16701,[]
1298,16700,[]
1299,16699,[]
1300,16383,[]
1301,1146113,[]
1302,233177,[]
1303,16698,[]
1304,16396,[]
1305,16730,[]
1306,16697,[]
1307,16380,[]
1308,16696,[]
1309,17606,[]
1310,17037,[]
1311,570243,[]
1312,1042147,[]
1313,407878,[]
1314,639140,[]
1315,1146688,[]
1316,17785,[]
1317,17605,[]
1318,1150368,[]
1319,17035,[]
1320,734571,[]
1321,17604,[]
1322,17784,[]
1323,17603,[]
1324,1150361,[]
1325,17152,[]
1326,17602,[]
1327,17601,[]
1328,17600,[]
1329,17599,[]
1330,17598,[]
1331,17890,[]
1332,17889,[]
1333,459257,[]
1334,512908,[]
1335,17597,[]
1336,17595,[]
1337,1167623,[]
1338,596400,[]
1339,553255,[]
1340,318842,[]
1341,949475,[]
1342,595661,[]
1343,48114,"['Education: Glenwood HS', 'Junior Representative Cricket: NtlB Nuff 1993, Ntl Nuff 1994-95', 'Tours: SA U-19 to Eng 1995']"
1344,1071006,[]
1345,48112,['South Africa Player of the Year 2008']
1346,396894,[]
1347,939209,[]
1348,963545,[]
1349,698147,[]
1350,946493,[]
1351,806995,[]
1352,48113,[]
1353,48110,[]
1354,816109,[]
1355,487004,[]
1356,946409,[]
1357,498594,[]
1358,1070753,[]
1359,946459,[]
1360,946511,[]
